no;id;dist;x;time;treat;y1;y2;y3
1;1;0;0.7735721;0;0;3.923192;3.096643;13.31439
2;1;0.25;0.7735721;1;0;10.43751;8.877026;14.66957
3;2;0;0.8924938;0;0;3.302063;4.381316;14.7155
4;2;0.5;0.8924938;1;0;9.384268;8.819533;14.44591
5;3;0;0.7974548;0;0;5.920908;2.57478;14.31268
6;3;0.75;0.7974548;1;0;10.60414;8.025814;14.73039
7;4;0;0.2268097;0;0;2.640629;3.574981;14.22123
8;4;1;0.2268097;1;0;6.870143;9.278002;11.83855
9;5;0;0.0874876;0;0;4.320655;3.107874;11.86885
10;5;1.25;0.0874876;1;0;9.300032;9.220352;12.40277
11;6;0;0.3966436;0;0;2.599992;5.895637;12.85301
12;6;1.5;0.3966436;1;0;9.47499;9.797846;12.56762
13;7;0;0.7960544;0;0;2.208614;3.030775;13.46259
14;7;1.75;0.7960544;1;0;10.43127;11.65649;11.04174
15;8;0;0.4039433;0;0;4.317504;2.834729;12.61184
16;8;2;0.4039433;1;0;10.19337;7.683446;11.23718
17;9;0;0.7797304;0;0;3.16691;3.220572;14.19932
18;9;2.25;0.7797304;1;0;9.801716;10.86111;12.64772
19;10;0;0.9466349;0;0;2.438557;4.107567;12.35757
20;10;2.5;0.9466349;1;0;9.545177;9.007376;10.77235
21;11;0;0.2921225;0;0;3.842481;0.6905647;12.45674
22;11;2.75;0.2921225;1;0;10.2561;8.863685;12.32325
23;12;0;0.9130867;0;0;3.11701;3.928735;14.69549
24;12;3;0.9130867;1;0;8.73997;9.48818;11.04246
25;13;0;0.076482;0;0;0.503656;4.311545;13.37352
26;13;3.25;0.076482;1;0;8.956304;9.110492;8.91166
27;14;0;0.7286481;0;0;3.57502;3.057549;12.77842
28;14;3.5;0.7286481;1;0;9.929995;9.061709;9.043183
29;15;0;0.3757625;0;0;3.415678;4.205168;13.1938
30;15;3.75;0.3757625;1;0;9.291032;8.326885;9.14995
31;16;0;0.9083402;0;0;5.64909;2.535923;12.15924
32;16;4;0.9083402;1;0;10.91257;9.23058;10.11058
33;17;0;0.9045855;0;0;5.002377;4.957409;13.47903
34;17;4.25;0.9045855;1;0;8.008494;7.356217;9.927518
35;18;0;0.2030651;0;0;2.963691;4.922058;13.67228
36;18;4.5;0.2030651;1;0;8.297756;8.871379;8.41013
37;19;0;0.9679344;0;0;3.060283;3.128564;14.70812
38;19;4.75;0.9679344;1;0;9.916371;9.011205;7.824449
39;20;0;0.6780207;0;0;6.296414;4.814888;12.08622
40;20;5;0.6780207;1;0;11.0764;6.431818;7.498466
41;21;0;0.8943466;0;0;4.704084;3.942836;13.92286
42;21;5.25;0.8943466;1;0;8.985268;8.804905;7.939624
43;22;0;0.2275392;0;0;1.996081;2.887215;13.93194
44;22;5.5;0.2275392;1;0;8.653951;8.378144;7.205961
45;23;0;0.3815177;0;0;4.69858;0.8858401;13.39015
46;23;5.75;0.3815177;1;0;6.723651;7.78453;7.18288
47;24;0;0.2646598;0;0;4.266734;1.80609;12.10426
48;24;6;0.2646598;1;0;7.35439;7.129066;6.190205
49;25;0;0.4804755;0;0;3.847531;5.443298;14.224
